ISO Code,Aggregated Region
aut,EUR
bel,EUR
bgr,EUR
cyp,EUR
cze,EUR
deu,EUR
dnk,EUR
esp,EUR
est,EUR
fin,EUR
fra,EUR
gbr,EUR
grc,EUR
hrv,EUR
hun,EUR
irl,EUR
ita,EUR
ltu,EUR
lux,EUR
lva,EUR
mlt,EUR
nld,EUR
pol,EUR
prt,EUR
rou,EUR
svk,EUR
svn,EUR
swe,EUR
ukr,ROW
xef,ROW
alb,ROW
xer,ROW
nor,ROW
che,ROW
tur,ROW
rus,ROW
arm,ROW
aze,ROW
blr,ROW
geo,ROW
kaz,ROW
kgz,ROW
xee,ROW
tjk,ROW
xsu,ROW
can,ROW
usa,ROW
pri,ROW
mex,ROW
xca,ROW
cri,ROW
dom,ROW
gtm,ROW
hnd,ROW
jam,ROW
nic,ROW
pan,ROW
slv,ROW
tto,ROW
xcb,ROW
xna,ROW
bra,ROW
arg,ROW
chl,ROW
bol,ROW
col,ROW
ecu,ROW
per,ROW
pry,ROW
ury,ROW
ven,ROW
xsm,ROW
ind,ROW
pak,ROW
bgd,ROW
lka,ROW
xsa,ROW
npl,ROW
brn,ROW
khm,ROW
lao,ROW
xea,ROW
mng,ROW
phl,ROW
sgp,ROW
twn,ROW
xse,ROW
xoc,ROW
xtw,ROW
kor,ROW
idn,ROW
mys,ROW
tha,ROW
vnm,ROW
chn,ROW
hkg,ROW
jpn,ROW
aus,ROW
nzl,ROW
sau,ROW
irn,ROW
are,ROW
bhr,ROW
kwt,ROW
omn,ROW
qat,ROW
xws,ROW
isr,ROW
jor,ROW
egy,ROW
xnf,ROW
mar,ROW
tun,ROW
zaf,ROW
xac,ROW
ben,ROW
bfa,ROW
bwa,ROW
xcf,ROW
civ,ROW
cmr,ROW
eth,ROW
gha,ROW
gin,ROW
ken,ROW
xsc,ROW
mdg,ROW
moz,ROW
mus,ROW
mwi,ROW
nam,ROW
nga,ROW
rwa,ROW
sen,ROW
tgo,ROW
tza,ROW
uga,ROW
zwe,ROW
zmb,ROW
xec,ROW
xwf,ROW
