GTAP Sectors,GTAP aggregation,SCAF aggregation
pdr,GrainCrops,AGRICULTURE
wht,GrainCrops,AGRICULTURE
gro,GrainCrops,AGRICULTURE
v_f,GrainCrops,AGRICULTURE
osd,GrainCrops,AGRICULTURE
c_b,GrainCrops,AGRICULTURE
pfb,TextAppar,AGRICULTURE
ocr,GrainCrops,AGRICULTURE
ctl,MeatDairy,AGRICULTURE
oap,MeatDairy,AGRICULTURE
rmk,MeatDairy,AGRICULTURE
wol,TextAppar,AGRICULTURE
frs,Mnfcs,AGRICULTURE
fsh,MeatDairy,AGRICULTURE
coa,HousUtils,ENERGY
oil,TransComm,ENERGY
gas,HousUtils,ENERGY
oxt,Mnfcs,MANUFACTURE
cmt,MeatDairy,MANUFACTURE
omt,MeatDairy,MANUFACTURE
vol,OthFoodBev,MANUFACTURE
mil,MeatDairy,MANUFACTURE
pcr,GrainCrops,MANUFACTURE
sgr,OthFoodBev,MANUFACTURE
ofd,OthFoodBev,MANUFACTURE
b_t,OthFoodBev,MANUFACTURE
tex,TextAppar,MANUFACTURE
wap,TextAppar,MANUFACTURE
lea,TextAppar,MANUFACTURE
lum,Mnfcs,MANUFACTURE
ppp,Mnfcs,MANUFACTURE
p_c,Mnfcs,ENERGY
chm,Mnfcs,CHEMICAL
bph,Mnfcs,MANUFACTURE
rpp,Mnfcs,MANUFACTURE
nmm,Mnfcs,MANUFACTURE
i_s,Mnfcs,STEEL
nfm,Mnfcs,MANUFACTURE
fmp,Mnfcs,MANUFACTURE
ele,Mnfcs,MANUFACTURE
eeq,Mnfcs,MANUFACTURE
ome,Mnfcs,MANUFACTURE
mvh,Mnfcs,MANUFACTURE
otn,TransComm,MANUFACTURE
omf,Mnfcs,MANUFACTURE
ely,HousUtils,ENERGY
gdt,HousUtils,ENERGY
wtr,HousUtils,MANUFACTURE
cns,HousUtils,MANUFACTURE
trd,WRTrade,MANUFACTURE
afs,WRTrade,SERVICES
otp,TransComm,TRANSPORTATION
wtp,TransComm,TRANSPORTATION
atp,TransComm,TRANSPORTATION
whs,TransComm,SERVICES
cmn,TransComm,SERVICES
ofi,FinService,SERVICES
ins,HousUtils,SERVICES
rsa,FinService,SERVICES
obs,FinService,SERVICES
ros,HousOthServ,SERVICES
osg,HousOthServ,SERVICES
edu,HousOthServ,SERVICES
hht,HousOthServ,SERVICES
dwe,HousOthServ,SERVICES
